Date,Num1,Num2,Num3,Num4,Num5,StarBall
2024-01-10,27,7,19,51,38,5
2024-01-08,12,21,39,37,45,6
2024-01-06,46,14,51,42,34,6
2024-01-03,17,10,47,51,31,4
2024-01-01,19,9,45,36,7,10
2023-12-30,44,11,30,9,10,7
2023-12-27,10,3,52,47,36,10
2023-12-25,52,48,25,10,4,3
2023-12-23,50,23,24,16,22,9
2023-12-20,28,14,17,4,15,7
2023-12-18,33,3,12,2,40,6
2023-12-16,14,31,13,25,23,9
2023-12-13,34,46,25,4,38,6
2023-12-11,42,47,52,39,18,5
2023-12-09,17,7,48,3,36,7
2023-12-06,43,24,22,27,34,8
2023-12-04,4,16,18,36,47,4
2023-12-02,11,3,8,48,38,8
2023-11-29,24,47,22,37,9,10
2023-11-27,50,8,1,25,23,4
2023-11-25,41,18,11,38,3,1
2023-11-22,17,19,45,37,42,7
2023-11-20,14,10,51,41,24,2
2023-11-18,18,22,26,9,34,6
2023-11-15,26,51,34,15,16,1
2023-11-13,18,51,17,20,44,4
2023-11-11,5,38,25,27,50,7
2023-11-08,52,3,23,45,1,2
2023-11-06,26,44,15,13,46,5
2023-11-04,8,48,11,47,23,4
2023-11-01,21,26,19,6,29,1
2023-10-30,11,49,43,50,28,4
2023-10-28,25,39,12,46,36,9
2023-10-25,46,41,27,3,8,3
2023-10-23,27,21,32,51,28,2
2023-10-21,30,36,11,23,51,6
2023-10-18,16,1,5,14,48,9
2023-10-16,11,47,39,30,37,7
2023-10-14,32,36,33,47,6,4
2023-10-11,3,17,6,9,51,2
2023-10-09,40,38,10,30,13,8
2023-10-07,47,22,5,35,31,10
2023-10-04,8,4,42,26,5,8
2023-10-02,21,51,4,5,36,3
2023-09-30,35,26,5,27,4,6
2023-09-27,22,21,50,46,25,1
2023-09-25,23,19,52,31,38,8
2023-09-23,15,39,50,32,34,10
2023-09-20,27,32,16,2,46,3
2023-09-18,4,51,25,32,24,7
2023-09-16,40,41,23,34,30,3
2023-09-13,40,11,36,12,25,4
2023-09-11,34,13,35,49,36,1
2023-09-09,22,15,33,5,21,5
2023-09-06,39,8,49,51,28,2
2023-09-04,10,52,51,33,17,10
2023-09-02,3,36,17,37,44,8
2023-08-30,30,44,8,15,46,8
2023-08-28,39,46,34,16,33,4
2023-08-26,21,38,8,51,43,1
2023-08-23,29,9,11,39,38,4
2023-08-21,50,10,7,26,40,3
2023-08-19,39,22,29,32,4,4
2023-08-16,37,31,43,14,18,2
2023-08-14,1,26,31,50,33,8
2023-08-12,3,26,29,16,30,5
2023-08-09,33,1,39,10,12,5
2023-08-07,33,8,52,29,4,5
2023-08-05,41,43,38,36,1,5
2023-08-02,51,1,33,18,41,10
2023-07-31,12,5,11,40,34,9
2023-07-29,29,14,52,8,50,10
2023-07-26,42,8,25,36,4,8
2023-07-24,6,51,29,20,13,7
2023-07-22,36,1,41,20,23,1
2023-07-19,40,33,16,12,9,4
2023-07-17,51,40,28,25,29,10
2023-07-15,42,6,5,20,48,6
2023-07-12,3,22,36,5,18,3
2023-07-10,47,30,51,3,26,1
2023-07-08,33,38,49,43,29,8
2023-07-05,39,48,21,9,38,8
2023-07-03,12,42,27,43,37,6
2023-07-01,43,23,13,52,16,2
2023-06-28,43,9,47,28,33,1
2023-06-26,33,34,31,3,38,3
2023-06-24,11,30,49,27,37,1
2023-06-21,35,48,20,13,2,7
2023-06-19,20,1,14,33,30,7
2023-06-17,36,4,23,26,35,8
2023-06-14,15,30,26,2,29,4
2023-06-12,29,41,32,1,46,7
2023-06-10,38,6,4,46,52,7
2023-06-07,12,22,9,21,26,9
2023-06-05,15,42,33,6,43,7
2023-06-03,21,22,14,48,9,2
2023-05-31,15,28,4,27,49,5
2023-05-29,50,52,34,19,42,2
2023-05-27,28,23,2,50,40,8
2023-05-24,1,23,43,35,24,4
2023-05-22,32,8,23,5,43,10
2023-05-20,15,18,19,4,11,1
2023-05-17,36,48,32,7,19,4
2023-05-15,41,38,16,33,9,8
2023-05-13,35,7,43,39,34,10
2023-05-10,14,26,17,9,13,2
2023-05-08,7,18,29,44,24,6
2023-05-06,20,46,13,43,42,1
2023-05-03,9,31,43,8,44,1
2023-05-01,20,17,2,31,45,3
2023-04-29,2,51,5,8,36,2
2023-04-26,11,46,27,12,2,9
2023-04-24,8,6,15,31,16,5
2023-04-22,12,26,9,24,5,4
2023-04-19,48,49,40,41,19,5
2023-04-17,23,21,13,30,10,4
2023-04-15,37,10,17,30,24,3
2023-04-12,45,51,36,48,18,5
2023-04-10,10,15,3,12,37,2
2023-04-08,37,35,1,39,14,5
2023-04-05,23,39,38,41,28,2
2023-04-03,27,40,30,6,52,1
2023-04-01,38,2,51,43,46,7
2023-03-29,46,38,45,24,19,4
2023-03-27,52,20,49,46,37,10
2023-03-25,17,41,29,3,52,10
2023-03-22,14,21,18,51,50,3
2023-03-20,22,13,37,14,30,3
2023-03-18,44,45,37,46,35,1
2023-03-15,43,36,52,45,31,2
2023-03-13,33,23,28,51,20,3
2023-03-11,48,39,45,33,41,8
2023-03-08,3,49,31,29,7,10
2023-03-06,17,25,50,2,35,6
2023-03-04,52,32,2,24,5,4
2023-03-01,8,17,14,38,41,7
2023-02-27,43,12,17,51,41,5
2023-02-25,22,50,14,34,39,8
2023-02-22,31,24,6,25,38,7
2023-02-20,27,19,39,4,10,10
2023-02-18,52,48,5,25,17,1
2023-02-15,37,11,43,32,3,1
2023-02-13,2,26,17,22,21,10
2023-02-11,28,24,3,2,46,9
2023-02-08,29,36,5,4,37,7
2023-02-06,20,3,4,35,32,6
2023-02-04,8,18,52,17,21,5
2023-02-01,10,34,16,33,45,4
2023-01-30,16,32,2,28,38,8
2023-01-28,37,1,34,24,52,9
2023-01-25,47,15,49,9,28,7
2023-01-23,43,47,16,8,6,9
2023-01-21,35,25,27,29,50,6
2023-01-18,12,45,24,27,18,1
2023-01-16,7,52,21,27,20,4
2023-01-14,38,35,37,48,25,5
2023-01-11,23,45,5,46,51,3
2023-01-09,34,32,27,43,39,7
2023-01-07,36,28,49,26,32,8
2023-01-04,37,12,2,30,46,1
2023-01-02,13,10,12,27,50,7
2022-12-31,29,30,42,35,9,8
2022-12-28,21,44,2,10,45,7
2022-12-26,4,11,26,51,49,10
2022-12-24,40,48,44,12,7,1
2022-12-21,14,12,45,23,38,2
2022-12-19,4,50,10,25,34,5
2022-12-17,12,49,40,7,16,1
2022-12-14,18,21,30,32,22,3
2022-12-12,3,23,33,51,31,7
2022-12-10,31,43,2,29,17,10
2022-12-07,47,19,2,22,48,5
2022-12-05,17,34,24,13,4,1
2022-12-03,43,30,36,32,42,10
2022-11-30,21,35,42,12,45,6
2022-11-28,34,5,6,29,49,4
2022-11-26,46,1,27,52,31,7
2022-11-23,42,21,35,12,29,3
2022-11-21,29,14,32,3,12,4
2022-11-19,16,32,48,9,19,5
2022-11-16,43,50,26,19,3,2
2022-11-14,49,29,23,9,40,10
2022-11-12,20,21,38,26,8,10
2022-11-09,15,1,5,7,52,4
2022-11-07,13,15,20,17,5,9
2022-11-05,40,46,5,20,25,1
2022-11-02,12,19,50,52,37,9
2022-10-31,23,4,26,48,51,4
2022-10-29,49,14,16,38,27,4
2022-10-26,10,35,1,26,39,6
2022-10-24,31,19,52,17,22,4
2022-10-22,5,44,49,19,52,2
2022-10-19,44,35,8,52,30,7
2022-10-17,30,19,39,24,20,7
2022-10-15,50,3,24,16,26,1
2022-10-12,48,40,14,20,2,2
2022-10-10,32,8,44,4,14,4
2022-10-08,1,49,9,4,14,3
2022-10-05,21,14,47,37,38,5
2022-10-03,7,9,28,39,6,2
2022-10-01,7,16,5,38,13,10
2022-09-28,13,45,38,44,39,6
2022-09-26,22,24,46,51,21,6
2022-09-24,33,34,20,3,42,6
2022-09-21,32,6,45,38,43,8
2022-09-19,48,31,45,47,12,6
2022-09-17,5,9,14,28,52,3
2022-09-14,13,9,32,29,15,7
2022-09-12,11,6,1,20,9,2
2022-09-10,52,19,33,24,32,6
2022-09-07,50,32,46,23,47,5
2022-09-05,36,2,46,30,39,7
2022-09-03,13,30,26,8,6,4
2022-08-31,52,22,41,43,4,4
2022-08-29,4,43,22,17,16,5
2022-08-27,5,34,51,19,9,2
2022-08-24,49,26,22,20,27,4
2022-08-22,48,52,34,16,22,8
2022-08-20,35,37,20,52,27,6
2022-08-17,4,23,37,38,17,2
2022-08-15,15,50,49,22,8,3
2022-08-13,47,12,43,27,14,7
2022-08-10,6,50,15,44,4,3
2022-08-08,48,2,15,31,17,8
2022-08-06,13,1,18,8,40,1
2022-08-03,13,20,35,43,42,8
2022-08-01,42,51,21,24,48,10
2022-07-30,17,22,24,36,25,5
2022-07-27,44,30,23,27,15,5
2022-07-25,37,31,52,26,48,4
2022-07-23,14,24,48,25,22,4
2022-07-20,42,23,1,48,15,3
2022-07-18,45,35,46,30,18,7
2022-07-16,7,30,11,28,49,1
2022-07-13,18,21,1,39,26,8
2022-07-09,26,35,6,32,11,10
2022-07-06,14,3,1,8,50,1
2022-07-02,19,43,9,50,44,8
2022-06-29,40,52,29,33,17,10
2022-06-25,30,28,12,39,34,6
2022-06-22,13,45,3,37,33,10
2022-06-18,26,32,46,48,28,1
2022-06-15,12,38,48,19,35,4
2022-06-11,37,14,25,33,29,4
2022-06-08,39,42,2,29,15,1
2022-06-04,14,9,46,33,45,9
2022-06-01,4,30,10,15,9,5
2022-05-28,20,52,42,7,40,4
2022-05-25,11,21,17,5,49,5
2022-05-21,46,29,11,21,32,8
2022-05-18,46,24,18,31,8,2
2022-05-14,10,44,33,1,30,2
2022-05-11,36,29,32,26,48,7
2022-05-07,48,18,43,32,51,10
2022-05-04,47,27,5,36,29,7
2022-04-30,45,14,44,30,7,3
2022-04-27,35,50,36,24,10,3
2022-04-23,31,6,15,46,43,3
2022-04-20,3,1,29,25,30,6
2022-04-16,18,10,14,8,23,2
2022-04-13,25,33,10,52,32,9
2022-04-09,37,36,10,7,20,5
2022-04-06,43,22,38,42,27,4
2022-04-02,11,43,4,44,3,8
2022-03-30,23,35,36,6,1,8
2022-03-26,22,29,20,40,6,9
2022-03-23,47,51,36,45,52,6
2022-03-19,27,1,11,7,32,8
2022-03-16,40,16,2,34,41,7
2022-03-12,22,43,48,19,4,9
2022-03-09,8,1,6,3,49,2
2022-03-05,49,1,30,36,10,3
2022-03-02,17,24,26,38,8,2
2022-02-26,31,13,5,48,39,2
2022-02-23,3,13,47,29,52,1
2022-02-19,46,33,47,16,42,6
2022-02-16,14,17,15,21,25,9
2022-02-12,28,42,47,1,14,8
2022-02-09,36,32,2,20,18,9
2022-02-05,22,31,2,35,4,10
2022-02-02,8,18,25,2,31,2
2022-01-29,23,30,19,31,5,3
2022-01-26,1,29,8,22,23,2
2022-01-22,27,11,46,29,35,9
2022-01-19,51,16,35,19,32,1
2022-01-15,52,16,22,49,35,9
2022-01-12,45,27,37,12,19,9
2022-01-08,6,37,5,50,34,5
2022-01-05,1,50,17,4,45,6
2022-01-01,23,3,51,50,33,4
2021-12-29,46,13,15,20,11,7
2021-12-25,27,34,38,17,36,3
2021-12-22,5,33,20,21,41,8
2021-12-18,25,46,31,45,15,4
2021-12-15,24,9,1,25,47,1
2021-12-11,17,8,26,41,10,9
2021-12-08,2,41,11,46,17,9
2021-12-04,34,23,26,8,50,7
2021-12-01,9,47,23,7,39,3
2021-11-27,50,49,27,14,5,9
2021-11-24,34,52,49,4,10,7
2021-11-20,40,33,29,27,37,9
2021-11-17,31,30,6,40,50,5
2021-11-13,10,1,35,27,11,10
2021-11-10,49,32,39,12,20,10
2021-11-06,39,16,9,32,6,2
2021-11-03,10,4,32,40,8,9
2021-10-30,48,10,18,21,47,1
2021-10-27,1,36,5,27,41,3
2021-10-23,25,46,13,48,40,8
2021-10-20,41,8,20,51,17,3
2021-10-16,10,17,48,40,3,1
2021-10-13,44,9,34,14,15,8
2021-10-09,48,22,45,6,51,4
2021-10-06,49,26,11,44,40,10
2021-10-02,2,49,45,50,21,7
2021-09-29,13,31,45,46,32,7
2021-09-25,32,1,10,36,29,3
2021-09-22,3,35,16,41,37,8
2021-09-18,25,15,27,37,49,6
2021-09-15,37,34,8,19,33,9
2021-09-11,38,3,14,36,52,8
2021-09-08,19,3,36,51,44,3
2021-09-04,25,5,28,24,1,4
2021-09-01,10,43,15,47,49,6
2021-08-28,48,13,10,33,39,3
2021-08-25,38,37,50,3,43,7
2021-08-21,19,22,10,35,5,5
2021-08-18,30,27,50,45,38,3
2021-08-14,35,8,21,45,19,3
2021-08-11,8,32,22,34,21,5
2021-08-07,2,38,6,34,41,8
2021-08-04,15,52,27,38,12,10
2021-07-31,38,34,35,19,14,9
2021-07-28,46,18,32,48,49,4
2021-07-24,25,7,31,12,8,5
2021-07-21,17,52,23,4,12,6
2021-07-17,45,26,30,40,37,5
2021-07-14,48,22,51,19,46,10
2021-07-10,43,14,27,6,28,5
2021-07-07,24,43,19,4,1,3
2021-07-03,7,10,34,48,52,1
2021-06-30,14,32,25,4,6,9
2021-06-26,3,49,40,6,8,7
2021-06-23,19,3,38,16,9,3
2021-06-19,39,35,24,42,45,6
2021-06-16,28,14,22,1,41,9
2021-06-12,49,23,8,10,50,6
2021-06-09,52,4,39,48,46,3
2021-06-05,39,16,19,44,13,5
2021-06-02,34,31,45,36,50,10
2021-05-29,18,34,16,4,42,6
2021-05-26,4,21,14,40,31,4
2021-05-22,48,47,52,36,26,5
2021-05-19,38,42,34,18,5,10
2021-05-15,14,46,9,30,19,3
2021-05-12,31,30,46,12,48,7
2021-05-08,4,41,44,34,32,2
